10 Insert 29.47 31.42
10 Quick 24.58 56.34
10 Hybrid 26.36 35.74
10 Merge 22.67 34
10 MySort 26.67 25.84
10 DPQuick 24.01 52.47
20 Insert 109.78 112.39
20 Quick 71.08 150.18
20 Hybrid 90.39 109.82
20 Merge 63.38 88
20 MySort 75.49 74.72
20 DPQuick 70.11 139.98
30 Insert 237.56 240.52
30 Quick 128.53 257.94
30 Hybrid 187.18 210.55
30 Merge 111.7 148
30 MySort 130.79 127.58
30 DPQuick 127.85 233.31
40 Insert 420.01 423.13
40 Quick 190.29 360.66
40 Hybrid 270.94 306.96
40 Merge 165.04 216
40 MySort 192.45 192.33
40 DPQuick 194.18 331.92
50 Insert 666.09 669.93
50 Quick 257.07 486.18
50 Hybrid 355.84 426.51
50 Merge 221.66 286
50 MySort 257.18 255.86
50 DPQuick 256.73 433.59
