1000 Quick 10989.8 18826.86
1000 Hybrid 12897.55 17435.11
1000 Merge 8705.75 9976
1000 MySort 9844.19 9842.47
1000 DPQuick 10991.53 15507.69
2000 Quick 24726.35 41140.86
2000 Hybrid 28578.45 38454.26
2000 Merge 19413.29 21952
2000 MySort 21870.74 21865.95
2000 DPQuick 24572.71 35049.93
3000 Quick 40033.91 66742.68
3000 Hybrid 45820.83 62701.22
3000 Merge 30917.87 34904
3000 MySort 34731.48 34723.44
3000 DPQuick 39672.05 55125.18
4000 Quick 55410.58 91399.5
4000 Hybrid 63091.11 86017.09
4000 Merge 42820.47 47904
4000 MySort 48014.27 48005.32
4000 DPQuick 55518.12 75441.42
5000 Quick 70414.23 114624.48
5000 Hybrid 80070.27 107957.16
5000 Merge 55228.74 61808
5000 MySort 61615.08 61610.74
5000 DPQuick 70766.91 98341.65
6000 Quick 87877.29 145092.63
6000 Hybrid 99409.54 136990.55
6000 Merge 67837.02 75808
6000 MySort 75705.5 75687.23
6000 DPQuick 87198.41 120847.68
7000 Quick 104891.91 169928.01
7000 Hybrid 118441.95 160568.95
7000 Merge 80670.43 89808
7000 MySort 90210.85 90204.79
7000 DPQuick 104733.57 142468.83
8000 Quick 121052.18 196945.44
8000 Hybrid 136373.4 186097.18
8000 Merge 93640.73 103808
8000 MySort 104880.11 104845.3
8000 DPQuick 121379.61 166443.81
9000 Quick 139864.38 226869.69
9000 Hybrid 157230.61 214794.97
9000 Merge 106972.6 118616
9000 MySort 119441.89 119403.78
9000 DPQuick 138878.12 190254.18
10000 Quick 155548.31 253541.01
10000 Hybrid 174817.53 240189.29
10000 Merge 120448.66 133616
10000 MySort 134431.14 134414.31
10000 DPQuick 156095.55 210917.04
11000 Quick 173532.61 282684.57
11000 Hybrid 194753.61 267863.05
11000 Merge 134029.2 148616
11000 MySort 149563.53 149529.57
11000 DPQuick 172824.21 236044.89
12000 Quick 191399.47 306946.89
12000 Hybrid 214514.68 290800.04
12000 Merge 147677.26 163616
12000 MySort 164858.47 164808.97
12000 DPQuick 191189.21 259947.9
13000 Quick 210424.27 344409.66
13000 Hybrid 235433 326974.01
13000 Merge 161477.22 178616
13000 MySort 179819.45 179783.03
13000 DPQuick 208909.95 284086.29
14000 Quick 225799.35 363905.64
14000 Hybrid 252738.29 345136.03
14000 Merge 175352.12 193616
14000 MySort 195359.96 195329.32
14000 DPQuick 226664.9 307172.97
15000 Quick 246685.62 400743.66
15000 Hybrid 275603.48 380591.23
15000 Merge 189291.77 208616
15000 MySort 210778.6 210743.45
15000 DPQuick 245947.67 335108.79
16000 Quick 264340.99 428987.61
16000 Hybrid 295054.1 407427.78
16000 Merge 203282.82 223616
16000 MySort 226506.78 226474.06
16000 DPQuick 264302.8 359316.69
17000 Quick 281690.03 457800.99
17000 Hybrid 314374.36 434881.46
17000 Merge 217529.37 239232
17000 MySort 242629.28 242598.35
17000 DPQuick 283979.1 383425.2
18000 Quick 302147.51 490966.11
18000 Hybrid 336943.17 467019.58
18000 Merge 231955.14 255232
18000 MySort 258634.2 258584.67
18000 DPQuick 300407.76 406901.67
19000 Quick 320710.96 518777.52
19000 Hybrid 357285.57 493394.84
19000 Merge 246402.33 271232
19000 MySort 274088.67 274015.82
19000 DPQuick 319413.01 432568.05
20000 Quick 338084.69 548251.02
20000 Hybrid 376588.44 521430.94
20000 Merge 260902.83 287232
20000 MySort 290918.01 290913.47
20000 DPQuick 337165.25 453208.17
21000 Quick 357025.83 575629.74
21000 Hybrid 397437.27 547349.55
21000 Merge 275451.31 303232
21000 MySort 306306.59 306229.44
21000 DPQuick 358618.59 480785.25
22000 Quick 377616.58 608177.52
22000 Hybrid 420023.69 578742.53
22000 Merge 290051.74 319232
22000 MySort 323264.96 323179.32
22000 DPQuick 376321.48 505379.64
23000 Quick 396211.97 635680.95
23000 Hybrid 440479.26 604730.96
23000 Merge 304699.42 335232
23000 MySort 339058.71 338979.83
23000 DPQuick 396133.89 534230.01
24000 Quick 416510.46 667942.26
24000 Hybrid 462709.34 635782.56
24000 Merge 319367.85 351232
24000 MySort 355655.83 355598.97
24000 DPQuick 415331.86 564860.76
25000 Quick 436055.76 700924.23
25000 Hybrid 483982.76 667245.1
25000 Merge 334096.78 367232
25000 MySort 371927.56 371901.28
25000 DPQuick 433585.61 589715.28
26000 Quick 454637.46 729077.25
26000 Hybrid 504890.51 694461.37
26000 Merge 348941.18 383232
26000 MySort 388163.79 388093.61
26000 DPQuick 453978.91 610794.87
27000 Quick 474315.53 762378.72
27000 Hybrid 526161.22 725945.55
27000 Merge 363812.15 399232
27000 MySort 405236.56 405162.76
27000 DPQuick 476420.49 638770.98
28000 Quick 494824.04 808969.56
28000 Hybrid 548700.63 771677.6
28000 Merge 378708.02 415232
28000 MySort 421275.53 421202.18
28000 DPQuick 492113.81 658467.81
